Difficulty,Type,Question,Correct Answer,Wrong 1,Wrong 2,Wrong 3
medium,multiple,What is the average lifespan of a domestic rabbit?,8-12 years,1-2 years,4-7 years,14-20 years
easy,boolean,Rabbits can't vomit.,True,False,,
medium,boolean,"""Kamea,"" the Gilbertese Islander word for dog, is derived from the English phrase ""Come here!""",True,False,,
medium,multiple,"For what reason would a spotted hyena ""laugh""?",Nervousness,Excitement,Aggression,Exhaustion
medium,multiple,What are the scales on all snakes and most lizards are made of?,Keratin,Ecdysis,Epidermis,Ankyloglossia
easy,boolean,A slug’s blood is green.,True,False,,
medium,multiple,What is the fastest animal?,Peregrine Falcon,Golden Eagle,Cheetah,Horsefly
medium,boolean,The average lifespan of a wildcat is only around 5-6 years. ,False,True,,
medium,multiple,About how much of their body weight in food do sea otters eat every day?,25%,10%,80%,45%
easy,estimate,How many legs do butterflies have?,6,2,4,0
medium,multiple,What is the national bird of Bahrain?,Bulbul,Hummingbird,Falcon,Sparrow
medium,multiple,What is the name for a male bee that comes from an unfertilized egg?,Drone,Soldier,Worker,Male
medium,boolean,Finnish Lapphund dogs were used for herding reindeer.,True,False,,
easy,multiple,What color is a Steller's Jay?,blue and black,blue and grey,blue and white,grey and black
easy,multiple,What is Grumpy Cat's real name?,Tardar Sauce,Sauce,Minnie,Broccoli
medium,boolean,Tigers have one colour of skin despite the stripey fur.,False,True,,
easy,boolean,Zebras are white with black stripes.,False,True,,
medium,multiple,Which of the following is NOT a venomous snake?,Reticulated python,Malayan Krait,Yellow bellied sea snake,Black mamba
medium,multiple,What color/colour is a polar bear's skin?,Black,White,Pink,Green
easy,multiple,What do you call a baby bat?,Pup,Cub,Chick,Kid
easy,multiple,"Snakes and lizards are known to flick their tongue, this behavior is to?",Capture scent particles,Taste the sweet air,Threaten other species,Attract female mates
easy,multiple,Which of these animals are not real?,Nemean Lion,Sea Dragon,Tasmanian Devil,Giant Squid
easy,multiple,Which breed of dog is traditionally associated with firefighters?,Dalmatians,German Shepard,Great Dane,Mastiff
hard,multiple,What is the collective noun for vultures?,Wake,Ambush,Building,Gaze
hard,multiple,Chronic Wasting Disease (CWD) exclusively infects members of which family of animals?,Cervids,Hominids,Felids,Canids
medium,multiple,"What is the scientific name for the ""Polar Bear""?",Ursus Maritimus,Polar Bear,Ursus Spelaeus,Ursus Arctos
easy,boolean,"The freshwater amphibian, the Axolotl, can regrow it's limbs.",True,False,,
medium,multiple,What dog breed is one of the oldest breeds of dog and has flourished since before 400 BCE.,Pugs,Bulldogs,Boxers,Chihuahua
easy,multiple,"By definition, where does an abyssopelagic animal live?",At the bottom of the ocean,In the desert,On top of a mountain,Inside a tree
hard,multiple,What is the average amount of chinchillas born into a single litter?,2-3,10-15,5-8,15-18
hard,multiple,Which species of Brown Bear is not extinct?,Syrian Brown Bear,California Grizzly Bear,Atlas Bear,Mexican Grizzly Bear
hard,multiple,Which of these animals is NOT a lizard?,Tuatara,Komodo Dragon,Gila Monster,Green Iguana
medium,multiple,"The now extinct species ""Thylacine"" was native to where?","Tasmania, Australia","Baluchistan, Pakistan","Wallachia, Romania","Oregon, United States"
easy,multiple,What is the collective noun for a group of crows?,Murder,Pack,Gaggle,Herd
hard,estimate,How many known living species of hyenas are there?,4,8,2,6
hard,multiple,"To which biological phylum do all mammals, birds and reptiles belong?",Chordata,Echinodermata,Annelida,Placazoa
hard,multiple,What was the name of the Ethiopian Wolf before they knew it was related to wolves?,Simien Jackel,Ethiopian Coyote,Amharic Fox,Canis Simiensis
medium,multiple,Which animal was part of an Russian domestication experiment in 1959?,Foxes,Pigeons,Bears,Alligators
medium,multiple,"""Decapods"" are an order of ten-footed crustaceans.  Which of these are NOT decapods?",Krill,Lobsters,Shrimp,Crabs
easy,multiple,What is the fastest  land animal?,Cheetah,Lion,Thomson’s Gazelle,Pronghorn Antelope
easy,multiple,What is the name of a rabbit's abode?,Burrow,Nest,Den,Dray
easy,multiple,What colour is the female blackbird?,Brown,Black,White,Yellow
easy,boolean,The internet browser Firefox is named after the Red Panda.,True,False,,
medium,boolean,"The Ceratosaurus, a dinosaur known for having a horn on the top of its nose, is also known to be a decendent of the Tyrannosaurus Rex.",False,True,,
