Difficulty,Type,Question,Correct Answer,Wrong 1,Wrong 2,Wrong 3
medium,multiple,"What is the real name of the ""Master Of Magnetism"" Magneto?",Max Eisenhardt,Charles Xavier,Pietro Maximoff,Johann Schmidt
hard,multiple,What is the real hair colour of the mainstream comic book version (Earth-616) of Daredevil?,Blonde,Auburn,Brown,Black
medium,multiple,"Found in the Marvel Comics fictional universe, what is the name of the nearly indestructible metal that coats Wolverine's bones and claws?",Adamantium,Titanium,Vibranium,Carbonadium
medium,multiple,What otherworldly land does Thor come from?,Asgard,Midgard,Jotunheim,Sovengarde
medium,multiple,What's the name of Batman's parents?,Thomas & Martha,Joey & Jackie,Jason & Sarah,Todd & Mira
hard,multiple,In what Homestuck Update was [S] Game Over released?,"October 25th, 2014","April 13th, 2009","April 8th, 2012","August 28th, 2003"
hard,multiple,"In the webcomic ""Ava's Demon"", what sin is ""Nevy Nervine"" based off of? ",Envy ,Sloth,Wrath ,Lust
hard,multiple,"Better known by his nickname Logan, what is Wolverine's birth name?",James Howlett,Logan Wolf,Thomas Wilde,John Savage
medium,multiple,The stuffed tiger in Calvin and Hobbes is named after what philosopher?,Thomas Hobbes,David Hobbes,John Hobbes,Nathaniel Hobbes
easy,multiple,"In DC comics, what is Owlman's real name?",Thomas Wayne Jr.,Thomas Wayne,Bruce Wayne,Joseph Chill 
easy,multiple,"This Marvel superhero is often called ""The man without fear"".",Daredevil,Thor,Wolverine,Hulk
hard,multiple,"In the Hellboy universe, what was Abe Sapien's birth name?",Langdon Everett Caul,Lord Baltimore,Sir Edward Grey,Landis Pope
easy,multiple,The main six year old protagonist in Calvin and Hobbes is named after what theologian?,John Calvin,Calvin Klein,Calvin Coolidge,Phillip Calvin McGraw
medium,multiple,"Who wrote the Batman comic series ""The Killing Joke""?",Alan Moore,Bill Finger,Frank Miller,Jerry Siegel
medium,multiple,"In Calvin and Hobbes, what is the name of the babysitter's boyfriend?",Charlie,Dave,Charles,Nathaniel
easy,multiple,Which one of these superhero teams appears in the Invincible comics?,Guardians of the Globe,Avengers,Justice League,Teenage Mutant Ninja Turtles
medium,multiple,What's the weakness of american vampires (Scott Snyder's American Vampire)?,Gold,Sunlight,Wood,Silver
easy,multiple,"In ""Homestuck"" the ""Kingdom of Darkness"" is also known as?",Derse,Skaia,Prospit,The Medium
medium,multiple,Which Batman sidekick is the son of Talia al Ghul?,Damian Wayne,Dick Grayson,Tim Drake,Jason Todd
medium,multiple,"In Bionicle, who was formerly a Av-Matoran and is now the Toa of Light?",Takua,Jaller,Vakama,Tahu
hard,multiple,"What are the names of the two ""Canon fan trolls"" in ""Homestuck""?",Mierfa Durgas and Nektan Whelan,The Wrycrown and Voksea Olkido,Aikter Frekik and Xagrai Ollomu,Grekei Ceknux and Riya Camacho
hard,multiple,"In the Homestuck Series, what is the alternate name for the Kingdom of Lights?",Prospit,No Name,Golden City,Yellow Moon
medium,multiple,What is the designation given to the Marvel Cinematic Universe?,Earth-199999,Earth-616,Earth-10005,Earth-2008
hard,multiple,Which pulp hero made appearances in Hellboy and BPRD comics before getting his own spin-off?,Lobster Johnson,Roger the Homunculus,The Spider,The Wendigo
medium,multiple,Who authored The Adventures of Tintin?,Hergé,E.P. Jacobs,Rin Tin Tin,Chic Young
medium,multiple,What is Hellboy's true name?,Anung Un Rama,Right Hand of Doom,Ogdru Jahad,Azzael
easy,boolean,"The ""Pepe"" meme originated from a comic drawn by Matt Furie called ""Boy's Club""?",True,False,,
easy,multiple,"In Black Hammer, what city did the heroes save from the Anti-God?",Spiral City,Mega-City One,Rockwood,Star City
medium,multiple,"In the DC Comics 2016 reboot, Rebirth, which speedster escaped from the Speed Force after he had been erased from existance?",Wally West,Johnny Quick,Jay Garrick,Eobard Thawne
medium,multiple,"In Calvin and Hobbes, what is the name of Susie's stuffed rabbit?",Mr. Bun,Mr. Bunbun,Mr. Rabbit,Mr. Hoppy
easy,estimate,When was Marvel Comics founded?,1939,1932,1951,1936
easy,multiple,What's the race of Invincible's father?,Viltrumite,Kryptonian,Kree,Irken
easy,multiple,What is the full first name of the babysitter in Calvin and Hobbes?,Rosalyn,Rose,Ruby,Rachel
medium,multiple,"What is the name of the comic about a young boy, and a tiger who is actually a stuffed animal?",Calvin and Hobbes,Winnie the Pooh,Albert and Pogo,Peanuts
hard,multiple,"In 1978, Superman teamed up with what celebrity, to defeat an alien invasion?",Muhammad Ali,Mike Tyson,Sylvester Stallone,Arnold Schwarzenegger
