Difficulty,Type,Question,Correct Answer,Wrong 1,Wrong 2,Wrong 3
medium,multiple,Who has played the most tournaments on the Brazilian national soccer team?,Cafu,Ronaldo,Kaká,Roberto Carlos
hard,multiple,What team did England beat in the semi-final stage to win in the 1966 World Cup final?,Portugal,West Germany,Soviet Union,Brazil
medium,multiple,Which of the following player scored a hat-trick during their Manchester United debut?,Wayne Rooney,Cristiano Ronaldo,Robin Van Persie,David Beckham
medium,multiple,What is the oldest team in the NFL?,Arizona Cardinals,Chicago Bears,Green Bay Packers,New York Giants
easy,multiple,Which wrestler won the 2019 Men’s Royal Rumble?,Seth Rollins,Braun Strowman,AJ Styles,Andrade
easy,multiple,Which team won the 2015-16 English Premier League?,Leicester City,Liverpool,Cheslea,Manchester United
medium,estimate,How many scoring zones are there on a conventional dart board?,82,62,42,102
medium,multiple,Who was the first footballer to score 200 goals in the English Premier League?,Alan Shearer,Wayne Rooney,Robbie Fowler,Thierry Henry
easy,estimate,"In Baseball, how many times does the ball have to be pitched outside of the strike zone before the batter is walked?",4,1,2,3
hard,multiple,Who is Manchester United's leading appearance maker?,Ryan Giggs,David Beckham,Wayne Rooney,Eric Cantona
easy,multiple,"Which player holds the NHL record of 2,857 points?",Wayne Gretzky,Mario Lemieux ,Sidney Crosby,Gordie Howe
medium,multiple,At which bridge does the annual Oxford and Cambridge boat race start?,Putney,Hammersmith,Vauxhall ,Battersea
medium,multiple,"In 2016, who won the Formula 1 World Constructor's Championship for the third time in a row?",Mercedes-AMG Petronas,Scuderia Ferrari,McLaren Honda,Red Bull Racing Renault
hard,estimate,"In Canadian football, scoring a rouge is worth how many points?",1,2,3,4
medium,multiple,Which of these track-and-field events is NOT included in the Olympic men's decathlon?,Hammer throw,Pole vault,Long jump,Shot put
medium,boolean,"During Wimbledon, spectators in the grounds can buy the tennis balls that have been used in matches.",True,False,,
medium,multiple,A stimpmeter measures the speed of a ball over what surface?,Golf Putting Green, Football Pitch,Cricket Outfield,Pinball Table
easy,estimate,"In baseball, how many fouls are an out?",0,5,3,2
easy,multiple,What team did England beat to win in the 1966 World Cup final?,West Germany,Soviet Union,Portugal,Brazil
medium,multiple,Which country is hosting the 2022 FIFA World Cup?,Qatar,Uganda,Vietnam,Bolivia
medium,multiple,Which car manufacturer won the 2017 24 Hours of Le Mans?,Porsche,Toyota,Audi,Chevrolet
hard,multiple,Which male player won the gold medal of table tennis singles in 2016 Olympics Games?,Ma Long (China),Zhang Jike (China),Jun Mizutani (Japan),Vladimir Samsonov (Belarus)
easy,multiple,Who won the UEFA Champions League in 2016?,Real Madrid C.F.,FC Bayern Munich,Atletico Madrid,Manchester City F.C.
medium,multiple,What is the oldest team in Major League Baseball?,Atlanta Braves,Chicago Cubs,Cincinnati Reds,St. Louis Cardinals
easy,multiple,What is the most common type of pitch thrown by pitchers in baseball?,Fastball,Slowball,Screwball,Palmball
medium,multiple,Which football manager won more trophies than any other during his tenure at English football club Manchester United?,Sir Alex Ferguson,David Moyes,Louis van Gaal,José Mourinho
hard,multiple,At which race was the 2018 F1 Drivers Championship won?,Mexico,United States,Belgium,Abu Dhabi
easy,multiple,Who won the 2017 Formula One World Drivers' Championship?,Lewis Hamilton,Sebastian Vettel,Nico Rosberg,Max Verstappen
easy,multiple,"Which city did the former NHL team ""The Nordiques"" originiate from?",Quebec City,Houston,Montreal,New York
medium,estimate,What year was hockey legend Wayne Gretzky born?,1961,1965,1959,1963
medium,multiple,Which of the following pitchers was named National League Rookie of the Year for the 2013 season?,Jose Fernandez,Jacob deGrom,Shelby Miller,Matt Harvey
easy,multiple,Which of these teams has Jaromir Jagr not played for?,New York Islanders,Calgary Flames,New Jersey Devils,Dallas Stars
medium,boolean,Formula E is an auto racing series that uses hybrid electric race cars.,False,True,,
medium,multiple,Which of the following Grand Slam tennis tournaments occurs LAST?,US Open,French Open,Wimbledon,Australian Open
medium,multiple,Which soccer team won the Copa América Centenario 2016?,Chile,Argentina,Brazil,Colombia
hard,multiple,The AHL affiliate team of the Boston Bruins is named what?,Providence Bruins,New Haven Bruins,Cambridge Bruins,Hartford Bruins
easy,multiple,Which of these NHL teams originally played in Atlanta?,Calgary Flames,St. Louis Blues,Minnesota Wild,Vancouver Canucks
medium,multiple,What is the exact length of one non-curved part in Lane 1 of an Olympic Track?,84.39m,100m,100yd,109.36yd
easy,estimate,How many players are there in an association football/soccer team?,11,10,9,8
easy,boolean,Peyton Manning retired after winning Super Bowl XLIX.,False,True,,
easy,multiple,Which NFL team plays for New England?,Patriots,Chiefs,Dolphins,49ers
medium,boolean,ATP tennis hosted several tournaments on carpet court before being replaced to reduce injuries.,True,False,,
easy,multiple,Who won the 2015 Formula 1 World Championship?,Lewis Hamilton,Nico Rosberg,Sebastian Vettel,Jenson Button
easy,multiple,Who won the UEFA Champions League in 2017?,Real Madrid C.F.,Atletico Madrid,AS Monaco FC,Juventus F.C.
medium,multiple,"In Formula 1, the Virtual Safety Car was introduced following the fatal crash of which driver?",Jules Bianchi,Ayrton Senna,Ronald Ratzenberger,Gilles Villeneuve
medium,estimate,What was Sir Donald Bradman's batting average in test matches?,99.94,100,69.51,44.78
medium,multiple,With which team did Michael Schumacher make his Formula One debut at the 1991 Belgian Grand Prix?,Jordan,Benetton,Ferrari,Mercedes
medium,boolean,Wilt Chamberlain scored his infamous 100-point-game against the New York Knicks in 1962.,True,False,,
hard,multiple,Which of these Russian cities did NOT contain a stadium that was used in the 2018 FIFA World Cup?,Vladivostok,Rostov-on-Don,Yekaterinburg,Kaliningrad
hard,multiple,Which of these European cities was the first to host the modern Summer Olympic Games three times?,London,Paris,Athens,Rome
medium,multiple,Who is regarded as the best Romanian footballer of all time?,Gheorghe Hagi,Cristian Chivu,Nicolae Dobrin,Gheorghe Popescu
hard,multiple,Who did Drew Brees pass in all time NFL passing yards in 2018?,Peyton Manning,Tom Brady,Dan Marino,Joe Montana
medium,multiple,Which portuguese island is soccer player Cristiano Ronaldo from?,Madeira,Terceira,Santa Maria,Porto Santo
medium,multiple,"The song ""Three Lions"" by the Lightning Seeds was made for which major football event in 1996?",European Championships,World Cup,Champions League,Confederations Cup
easy,multiple,Which driver has been the Formula 1 world champion for a record 7 times?,Michael Schumacher,Ayrton Senna,Fernando Alonso,Jim Clark
easy,multiple,The UEFA Champions League is an annual club football competition featuring clubs from which continent?,Europe,South America,Africa,Asia
easy,multiple,"In golf, what name is given to a hole score of two under par?",Eagle,Birdie,Bogey,Albatross
easy,multiple,"In what sport is a ""shuttlecock"" used?",Badminton,Table Tennis,Rugby,Cricket
easy,multiple,Which team has won the most Stanley Cups in the NHL?,Montreal Canadians,Chicago Blackhawks,Toronto Maple Leafs,Detroit Red Wings
easy,multiple,What national team won the first UEFA Nations League?,Portugal,Netherlands,England,Switzerland
medium,multiple,Which nation hosted the FIFA World Cup in 2006?,Germany,United Kingdom,Brazil,South Africa
medium,multiple,What city did the Lakers represent before relocating to Los Angeles?,Minneapolis,Philadelphia,Chicago,San Francisco
easy,multiple,What is the name of Manchester United's home stadium?,Old Trafford,Anfield,City of Manchester Stadium,St James Park
hard,multiple,What tool lends it's name to a last-stone advantage in an end in Curling?,Hammer,Wrench,Drill,Screwdriver
medium,multiple,Which of these countries' national teams qualified for the 2018 FIFA World Cup in Russia?,Tunisia,United States of America,Italy,Netherlands
hard,multiple,Who won the 1998 Daytona 500?,Dale Earnhardt,John Anderson,Jeff Gordon,Michael Walltrip
easy,multiple,Which boxer was banned for taking a bite out of Evander Holyfield's ear in 1997?,Mike Tyson,Roy Jones Jr.,Evander Holyfield,Lennox Lewis
easy,boolean,Roger Federer is a famous soccer player.,False,True,,
medium,multiple,Which darts player has won the most World Championship titles?,Phil Taylor,Michael van Gerwen,Raymond van Barneveld,Eric Bristow
hard,multiple,How many times did Martina Navratilova win the Wimbledon Singles Championship?,Nine,Ten,Seven,Eight
easy,multiple,"Who is often called ""the Maestro"" in the men's tennis circuit?",Roger Federer,Bill Tilden,Boris Becker,Pete Sampras
easy,multiple,Which country hosted the 2020 Summer Olympics?,Japan,China,Australia,Germany
easy,multiple,Which country hosted the 2018 FIFA World Cup?,Russia,Germany,United States,Saudi Arabia
medium,boolean,"In 2008, Usain Bolt set the world record for the 100 meters with one shoelace untied.",True,False,,
medium,multiple,Who was the topscorer for England national football team?,Wayne Rooney,David Beckham,Steven Gerrard,Michael Owen
medium,multiple,Which German sportswear company's logo is the 'Formstripe'?,Puma,Nike,Adidas,Reebok
medium,estimate,How many premier league trophies did Sir Alex Ferguson win during his time at Manchester United?,13,11,20,22
easy,multiple,"This Canadian television sportscaster is known for his ""Hockey Night in Canada"" role, a commentary show during hockey games.",Don Cherry,Don McKellar,Don Taylor ,Donald Sutherland
medium,multiple,Who won the 2018 Monaco Grand Prix?,Daniel Ricciardo,Sebastian Vettel,Kimi Raikkonen,Lewis Hamilton
hard,multiple,"What is the full name of the footballer ""Cristiano Ronaldo""?",Cristiano Ronaldo dos Santos Aveiro,Cristiano Ronaldo los Santos Diego,Cristiano Armando Diego Ronaldo,Cristiano Luis Armando Ronaldo
medium,multiple,"Which country did Kabaddi, a contact sport involving tackling, originate from?",India,Australia,Turkey,Cambodia
medium,multiple,Which sport is NOT traditionally played during the Mongolian Naadam festival?,American Football,Wrestling,Archery,Horse-Racing
medium,multiple,"In a game of snooker, what colour ball is worth 3 points?",Green,Yellow,Brown,Blue
easy,multiple,Which team won 2014 FIFA World Cup in Brazil?,Germany,Argentina,Brazil,Netherlands
