Difficulty,Type,Question,Correct Answer,Wrong 1,Wrong 2,Wrong 3
medium,boolean,"According to Norse mythology, Loki is a mother.",True,False,,
medium,multiple,What is the name of the Greek god of blacksmiths?,Hephaestus,Dyntos,Vulcan,Artagatus
easy,boolean,"In Norse mythology, Thor once dressed as a woman.",True,False,,
medium,multiple,"According to the Egyptian Myth of Osiris, who murdered Osiris?",Set,Horus,Ra,Anhur
medium,multiple,What animal did Queen Pasipahe sleep with before she gave birth to the Minotaur in Greek Mythology?,Bull,Pig,Ox,Horse
medium,multiple,"In African mythology, Anansi is a trickster and storyteller who takes the shape of which animal?",Spider,Wild dog,Monkey,Crocodile
medium,multiple,This Greek mythological figure is the god/goddess of battle strategy (among other things).,Athena,Ares,Artemis,Apollo
hard,multiple,What immense structure is referred to in Norse Mythology as the Yggdrasil.,Tree,Mountain,Temple,Castle
medium,multiple,"In Norse Mythology, Baldr was killed by Loki with a magical spear made from what plant?",Mistletoe,Wolf's Bane,Buckthorn,Hemlock
medium,multiple,"Who is the father of Icarus, who flew too close to the sun?",Daedalus,Minos,Perseus,Zeus
hard,boolean,"Skaði is the Norse Goddess of skiing, mountains, winter and bowhunting.",True,False,,
easy,multiple,The greek god Poseidon was the god of what?,The Sea,War,Sun,Fire
medium,boolean,"In Greek mythology, Hera is the goddess of harvest.",False,True,,
easy,boolean,A wyvern is the same as a dragon.,False,True,,
medium,multiple,Who is the God Loki's son? ,Fenrir ,Odin,Hel,Sigyn
medium,multiple,Which of these Roman gods doesn't have a counterpart in Greek mythology?,Janus,Vulcan,Juno,Mars
medium,boolean,The Japanese god Izanagi successfully returned his wife Izanami from the Underworld.,False,True,,
medium,multiple,"The Hippogriff, not to be confused with the Griffon, is a magical creature with the front half of an eagle, and the back half of what?",A Horse,A Dragon,A Tiger,A Lion
easy,multiple,What mytological creatures have women's faces and vultures' bodies?,Harpies,Mermaids,Nymph,Lilith
medium,multiple,"Which greek god/goddess tossed a golden apple with the words ""for the fairest"" into the middle of the feast of the gods?",Eris,Hades,Ares,Artemis
hard,multiple,Which of the following is NOT a god in Norse Mythology.,Jens,Loki,Tyr,Snotra
easy,multiple,Which figure from Greek mythology traveled to the underworld to return his wife Eurydice to the land of the living?,Orpheus,Hercules,Perseus,Daedalus
easy,multiple,"In most traditions, who was the wife of Zeus?",Hera,Aphrodite,Athena,Hestia
medium,multiple,Which of the following is not one of the Greek Fates?,Narcissus,Clotho,Atropos,Lachesis
easy,multiple,Who was the only god from Greece who did not get a name change in Rome?,Apollo,Demeter,Zeus,Athena
easy,boolean,"According to Greek Mythology, Atlas was an Olympian God.",False,True,,
hard,boolean,Janus was the Roman god of doorways and passageways.,True,False,,
easy,multiple,"Who in Greek mythology, who led the Argonauts in search of the Golden Fleece?",Jason,Castor,Daedalus,Odysseus
medium,multiple,"In Greek mythology, Persephone must return to the underworld because she had eaten what kind of seeds?",Pomegranate,Sunflower,Orange,Fig
easy,multiple,"In Greek mythology, who is the god of wine?",Dionysus,Hephaestus,Demeter,Apollo
easy,multiple,The ancient Roman god of war was commonly known as which of the following?,Mars,Jupiter,Juno,Ares
medium,multiple,Hel was the daughter of which Norse Mythological figure?,Loki,Thor,Odin,Balder
hard,multiple,"In Greek Mythology, who was the daughter of King Minos?",Ariadne,Athena,Ariel,Alana
easy,multiple,"Which Greek & Roman god was known as the god of music, truth and prophecy, healing, the sun and light, plague, poetry, and more?",Apollo,Aphrodite,Artemis,Athena
