Difficulty,Type,Question,Correct Answer,Wrong 1,Wrong 2,Wrong 3
medium,multiple,What nickname was given to Air Canada Flight 143 after it ran out of fuel and glided to safety in 1983?,Gimli Glider,Gimli Microlight,Gimli Chaser,Gimli Superb
easy,multiple,"Which car tire manufacturer is famous for its ""P Zero"" line?",Pirelli,Goodyear,Bridgestone,Michelin
easy,multiple,Which of these automotive brands originated in Sweden?,Volvo,Mercedes,Acura,Lincoln
hard,multiple,"In 2014, over 6 million General Motors vehicles were recalled due to what critical flaw?",Faulty ignition switch,Malfunctioning gas pedal,Breaking fuel lines,Faulty brake pads
easy,multiple,What country was the Trabant 601 manufactured in?,East Germany,Soviet Union,Hungary,France
easy,multiple,"During World War 2, with tank was the most fear by the allies?",PanzerKampfwagen V Panther,Marder III,Mks Matilda II,PanzerKampfwagen VI Tiger 
medium,boolean,Bugatti was an Italian car manufacturer.,False,True,,
medium,multiple,"Which car manufacturer created the ""Aventador""?",Lamborghini,Ferrari,Pagani,Bugatti
hard,estimate,How much horsepower is produced by the SD40-2 Locomotive?,"3,000","3,200","2,578","2,190"
easy,estimate,The LS3 engine is how many cubic inches?,376,346,364,427
hard,multiple,Which of these is NOT a car model produced by Malaysian car manufacturer Proton?,Kelisa,Saga,Perdana,Inspira
easy,boolean,The Honda Motor Corporation originates in Japan,True,False,,
easy,boolean,The full English name of the car manufacturer BMW is Bavarian Motor Works,True,False,,
medium,multiple,Which supercar company is from Sweden?,Koenigsegg,Bugatti,Lamborghini,McLaren
hard,multiple,What model was the sports car gifted to Yuri Gagarin by the French government in 1965?,Matra Djet,Porsche 911,Alpine A110,AC Cobra
medium,estimate,When was Tesla founded?,2003,2008,2005,2007
medium,boolean,Ferrari has never made a V10 engine for any of its cars.,False,True,,
medium,multiple,Which of the following passenger jets is the longest?,Boeing 747-8,Airbus A350-1000,Airbus A330-200,Boeing 787-10
medium,multiple,Which one of the following is not made by Ford?,Camry,Fusion,Model A,F-150
hard,boolean,"The term ""GTO"" was originated by Ferrari?",True,False,,
medium,estimate,When was Cadillac founded?,1902,1964,1898,1985
medium,boolean,Arriva is owned by the Deutsche Bahn.,True,False,,
medium,multiple,Which country has the international vehicle registration letter 'A'?,Austria,Afghanistan,Australia,Armenia
hard,boolean,In 1993 Swedish car manufacturer Saab experimented with replacing the steering wheel with a joystick in a Saab 9000.,True,False,,
hard,multiple,Which Variable Valve Timing technology is used by BMW?,VANOS,VVT-iw,VVEL,MultiAir
easy,multiple,Which Italian city is home of the car manufacturer 'Fiat'?,Turin,Maranello,Modena,Rome
medium,multiple,What manufacturer made the car used in Back to the Future?,DeLorean,Ford,Toyota,Daihatsu
hard,multiple,Which of the following FIA Rally cars was approved for use in the Group B class first? ,Porsche 911 Turbo,Audi Quattro A2,BMW M1,Lancia Rally 037
hard,multiple,Volkswagen's legendary VR6 engine has cylinders positioned at what degree angle?,15 Degree,30 Degree,45 Degree,90 Degree
hard,estimate,Which of the following Union Pacific 'Big Boy' locomotives was restored to working order in 2019?,4014,4012,4004,4000
medium,multiple,"What part of an automobile engine uses lobes to open and close intake and exhaust valves, and allows an air/fuel mixture into the engine?",Camshaft,Piston,Drive shaft,Crankshaft
medium,multiple,Which of these cars is NOT considered one of the 5 Modern Supercars by Ferrari?,Testarossa,Enzo Ferrari,F40,288 GTO
medium,multiple,Which of the following car models has been badge-engineered (rebadged) the most?,Isuzu Trooper,Holden Monaro,Suzuki Swift,Chevy Camaro
medium,multiple,What was the first vehicle that came with air conditioning as a factory standard?,Packard,Tucker,Ford,Hudson
easy,boolean,BMW M GmbH is a subsidiary of BMW AG that focuses on car performance.,True,False,,
easy,estimate,How many wheels does a unicycle have?,1,4,3,6
easy,estimate,The LS2 engine is how many cubic inches?,364,346,376,402
hard,multiple,What engine is in the Lexus SC400?,1UZ-FE,2JZ-GTE,7M-GTE,5M-GE
easy,multiple,What animal is pictured on the logo of the automobile manufacturer Porsche?,Horse,Bull,Lion,Cheetah
medium,multiple,"The British Rail Class 700, Class 707 and the Class 717 are part of what train family?",Desiro City,Networker,Aventra,Electrostar
easy,multiple,The Italian automaker Lamborghini uses what animal as its logo?,Bull,Bat,Horse,Snake
hard,multiple,Which one of the following is NOT a sub-company of the Volkswagen Group?,Opel,Porsche,Bugatti,Bentley
easy,multiple,Which of the following collision avoidance systems helps airplanes avoid colliding with each other?,TCAS,GPWS,OCAS,TAWS
hard,multiple,The difference between the lengths of a Boeing 777-300ER and an Airbus A350-1000 is closest to:,0.1m,1m,10m ,100m
medium,boolean,The General Motors EV1 was the first street-legal production electric vehicle.,False,True,,
medium,multiple,Which car brand does NOT belong to General Motors?,Ford,Buick,Cadillac,Chevrolet
medium,multiple,"What country is the Hussarya supercar, made by the car manufacturer ""Arrinera"", assembled in?",Poland,China,Sweden,Italy
easy,multiple,What is the name of Nissan's most popular electric car?,Leaf,Tree,Deer,Roots
medium,boolean,The snowmobile was invented by Canadian Joseph-Armand Bombardier in 1937.,True,False,,
easy,multiple,Which of the following car manufacturers had a war named after it?,Toyota,Honda,Ford,Volkswagen
easy,multiple,"Which car tire manufacturer is famous for its ""Eagle"" brand of tires, and is the official tire supplier of NASCAR?",Goodyear,Pirelli,Bridgestone,Michelin
medium,multiple,Which of the following countries has officially banned the civilian use of dash cams in cars?,Austria,United States,Czechia,South Korea
easy,multiple,What UK Train does NOT go over 125MPH?,Sprinter,Class 43,Javelin,Pendolino
medium,multiple,Which of these car models are produced by Lamborghini?,Aventador,Huayra,918,Chiron
hard,multiple,"What kind of train was Stepney, a train on the Bluebell Railway notable for his appearance in ""The Railway Series""?",LB&SCR A1X,LB&SCR E2,LB&SCR J1,LB&SCR D1
medium,boolean,"When BMW was established in 1916, it was producing automobiles.",False,True,,
easy,multiple,Which of the following vehicles from Ford is named after a WW2 Fighter Plane?,Mustang,Explorer,Ranger,Galaxy
easy,estimate,The LS1 engine is how many cubic inches?,346,350,355,360
hard,multiple,What was the name of the first front-wheel-drive car produced by Datsun (now Nissan)?,Cherry,Sunny,Bluebird,Skyline
