Difficulty,Type,Question,Correct Answer,Wrong 1,Wrong 2,Wrong 3
easy,estimate,How many sides does a pentagon have?,5,9,6,4
easy,estimate,What prime number comes next after 19?,23,25,21,27
medium,boolean,A 'Millinillion' is a real number.,True,False,,
easy,multiple,What is the name of a nine sided polygon?,Nonagon,Hexagon,Octagon,Heptagon
hard,boolean,L'Hôpital was the mathematician who created the homonymous rule that uses derivatives to evaluate limits with indeterminations.,False,True,,
easy,estimate,How many sides does a trapezium have?,4,3,5,6
medium,multiple,What shape does sin(x) or cos(x) make on a graph?,Waves,A Parabola,A Straight Line,Zig-Zags
easy,multiple,"What comes after a Million, a Billion, and a Trillion?",Quadrillion,Sextillion,Quintillion,Septillion
medium,multiple,"A mathematical constant, known as ""The Golden Ratio"", is most commonly represented by which greek letter?",Φ (phi),π (pi),Ψ (psi),Τ (tau)
medium,multiple,Which of these probability distributions is NOT discrete?,Normal,Binomial,Poisson,Hyper-geometric
easy,multiple,What is the mathematician Euler's first name?,Leonhard,Lionel,Andrin,Ajan
easy,boolean,The sum of any two odd integers is odd.,False,True,,
medium,multiple,What is the Roman numeral for 500?,D,L,C,X
easy,boolean,"A universal set, or a set that contains all sets, exists.",False,True,,
medium,multiple,"In the hexadecimal system, what number comes after 9?",The Letter A,10,The Number 0,16
medium,multiple,What is the area of a circle with a diameter of 20 inches if π= 3.1415?,314.15 Inches,380.1215 Inches,3141.5 Inches,1256.6 Inches
hard,boolean,"If you could fold a piece of paper in half 50 times, its' thickness will be 3/4th the distance from the Earth to the Sun.",True,False,,
hard,estimate,What is the fourth digit of π?,1,2,3,4
hard,estimate,How many Millibars (mbar) to 1 Inch of Mercury (inHg),33.9,30.0,27.4,10.6
hard,boolean,"In Topology, the complement of an open set is a closed set.",True,False,,
medium,boolean,E = MC3,False,True,,
hard,multiple,What is the plane curve proposed by Descartes to challenge Fermat's extremum-finding techniques called?,Folium of Descartes,Elliptic Paraboloid of Descartes,Cartesian Coordinates,Descarte's Helicoid
hard,multiple,"The notion of a ""set that contains all sets which do not contain themselves"" is a paradoxical idea attributed to which English philosopher?",Bertrand Russel,Francis Bacon,John Locke,Alfred North Whitehead
easy,multiple,What is the symbol for Displacement?,Δr,dr,Dp,r
medium,boolean,"You can square root a negative number with an imaginary number ""i"".",True,False,,
easy,boolean,The 'Squaring the Circle' problem is solvable.,False,True,,
easy,estimate,How many square faces does a cube have?,6,4,8,10
easy,boolean,An isosceles triangle has two sides of equal length as opposed to three.,True,False,,
easy,multiple,Who proved Fermat's Last Theorem?,Andrew Wiles,Leonhard Euler,Carl Friedrich Gauss,Srinivasa Ramanujan
