Difficulty,Type,Question,Correct Answer,Wrong 1,Wrong 2,Wrong 3
hard,multiple,Painter Piet Mondrian (1872 - 1944) was a part of what movement?,Neoplasticism,Precisionism,Cubism,Impressionism
medium,multiple,Which artist’s studio was known as 'The Factory'?,Andy Warhol,Roy Lichtenstein,David Hockney,Peter Blake
medium,multiple,What nationality was the surrealist painter Salvador Dali?,Spanish,Italian,French,Portuguese
easy,multiple,Who painted the biblical fresco The Creation of Adam?,Michelangelo,Leonardo da Vinci,Caravaggio,Rembrandt
medium,boolean,"Venus of Willendorf is one of the earliest works of art, depicting the planets Mars and Venus embrace in the heavens at night.",False,True,,
easy,multiple,Which painting was not made by Vincent Van Gogh?,The Ninth Wave,Café Terrace at Night,Bedroom In Arles,Starry Night
easy,multiple,What is a fundamental element of the Gothic style of architecture?,pointed arch,coffered ceilings,façades surmounted by a pediment ,internal frescoes
medium,multiple,"In ""Last Supper"" by Leonardo Da Vinci, what two colors were the robes worn by Jesus?",Red and Blue,Red and White,Red and Yellow,Red and Black
hard,multiple,What nationality was the famous artist Van Gogh?,Dutch,French,Russian,Polish
easy,boolean,Leonardo da Vinci was not the creator of the Mona Lisa.,False,True,,
easy,boolean,Leonardo da Vinci's Mona Lisa does not have eyebrows.,True,False,,
medium,boolean,Vincent van Gogh cut off one of his ears.,True,False,,
hard,multiple,"The painting ""Guernica"" by Pablo Picasso expressed emotions of dread in response to which war?",Spanish Civil War,World War I,The Crimean War,Spanish-American War
easy,multiple,What is the world's oldest known piece of fiction?,Epic of Gilgamesh,Papyrus of Ani,Code of Hammurabi,Rosetta Stone
hard,boolean,"The name ""Impressionsim"" was first given to that art movement by a critic's satirical review of a Monet painting.",True,False,,
easy,multiple,Which artist painted the late 15th century mural 'The Last Supper'?,Leonardo da Vinci,Piero della Francesca,Paolo Uccello,Luca Pacioli
medium,multiple,Which time signature is commonly known as “Cut Time?”,2/2,4/4,6/8,3/4
medium,multiple,Which one of these paintings is not by Caspar David Friedrich?,The Black Sea,The Sea of Ice,Wanderer above the Sea of Fog,The Monk by the Sea
medium,multiple,"Who painted ""The Scream""?",Edvard Munch,Vincent Van Gogh,Picasso,Henri Matisse
medium,boolean,"Pablo Picasso is one of the founding fathers of ""Cubism.""",True,False,,
hard,multiple,Albrecht Dürer's birthplace and place of death were in...,Nürnberg,Augsburg,Bamberg,Berlin
medium,multiple,Which Greek sculptor designed the Athena Parthenos statue inside the Parthenon?,Phidias,Scopas,Hesiod,Praxiteles
easy,multiple,What is the name of the Japanese art of folding paper into decorative shapes and figures?,Origami,Sumi-e,Ukiyo-e,Haiku
medium,multiple,Who designed the Chupa Chups logo?,Salvador Dali,Pablo Picasso,Andy Warhol,Vincent van Gogh
medium,multiple,Which one of these colors are not featured in Mondrian's Broadway Boogie-Woogie?,Green,Blue,Yellow,Red
hard,estimate,What year was the Mona Lisa finished?,1504,1487,1523,1511
easy,multiple,Which Van Gogh painting depicts the view from his asylum in Saint-Rémy-de-Provence in southern France?,The Starry Night,Wheatfields with Crows,The Sower with Setting Sun,The Church at Auvers
hard,multiple,Which of these is not an additional variation of the color purple?,Kobicha,Byzantium,Pomp and Power,Palatinate
easy,multiple,Which artist is famous for cutting off his ear?,Vincent van Gogh,Salvador Dali,Rembrandt,Michelangelo
hard,estimate,"How many paint and pastel versions of ""The Scream"" is Norwegian painter Edvard Munch believed to have produced?",4,1,3,2
hard,boolean,The Statue of Liberty's official name is “Liberty Enlightening the World”.,True,False,,
easy,multiple,What is another name for La Gioconda / La Joconde?,The Mona Lisa,The Girl with a Pearl Earring,The Starry Night,Sunflowers
hard,multiple,Which art movement was Pablo Picasso known for co-founding?,Cubism,Futurism,Expressionism,Impressionism
hard,multiple,Paul Gauguin moved to which country in 1895?,Tahiti,France,Atuona,Lithuania
medium,multiple,"Who painted the painting ""Nighthawks""?",Edward Hopper,Johannes Vermeer,Vincent van Gogh,Salvador Dali
medium,multiple,Which of these paintings did Johannes Vermeer not paint?,Bacchus,Girl with a Pearl Earring,The Milkmaid,The Lacemaker
medium,multiple,What were Marcel Duchamp's readymades?,utilitarian objects elevated to the status of art,a series focused on color and light as opposed to line and shape,paintings with a barely visible outlined square,a group of identical steel boxes jutting from the wall 
hard,multiple,"The painting ""The Starry Night"" by Vincent van Gogh was part of which art movement?",Post-Impressionism,Romanticism,Neoclassical,Impressionism
hard,estimate,"When was Salvador Dali's painting, ""The Persistence of Memory,"" completed?",1931,1932,1929,1934
easy,multiple,Who painted the Mona Lisa?,Leonardo da Vinci,Pablo Picasso,Claude Monet,Vincent van Gogh
medium,multiple,Which artist's style was to use small different colored dots to create a picture?,Georges Seurat,Paul Cézanne,Vincent Van Gogh,Henri Rousseau
