Difficulty,Type,Question,Correct Answer,Wrong 1,Wrong 2,Wrong 3
medium,multiple,"Which Crypt of the NecroDancer (2015) character has a soundtrack by Jake ""Virt"" Kaufman?",Uncle Eli,Cadence,Nocturna,Octavian (Bard)
medium,multiple,Which of these is NOT a game under the Worms series?,Major Malfunction,Crazy Golf,Clan Wars,Ultimate Mayhem
hard,estimate,"What is the highest level that you can reach in ""The Elder Scrolls 4: Oblivion"" without considering skill levels, class, and birthsign?",50,No limit,80,100
easy,boolean,Codemasters is the developer of the Gran Turismo series.,False,True,,
medium,multiple,"Which of these is NOT DLC for the video game called ""Tabletop Simulator""?",The Binding of Isaac: Four Souls,Three Kingdoms Redux,Superfight,Mr. Game!
medium,multiple,"Who voices the character ""Vernon Cherry"" in ""Red Dead Redemption""?",Casey Mongillo,Tara Strong,Troy Baker,Rob Wiethoff
hard,boolean,"The Paradox Interactive game ""Stellaris"" was released in 2016.",True,False,,
medium,multiple,"In Dead by Daylight, which killer perk applies the mangled effect?",Sloppy Butcher,Knock Out,Thanatophobia,Enduring
medium,multiple,How much does the 'AWP' cost in Counter-Strike: Global Offensive?,$4750,$4500,$4650,$5000
easy,multiple,Which of the following was NOT a playable character in the game Kingdom Hearts: Birth by Sleep?,Ignis,Ventus,Terra,Aqua
easy,multiple,Which of the following is not a character in the Street Fighter series?,Mai Shiranui,Laura Matsuda,Sakura Kasugano,Ibuki
easy,multiple,"Half-Life by Valve uses the GoldSrc game engine, which is a highly modified version of what engine?",Quake Engine,Doom Engine,id Engine,Source Engine
medium,multiple,Which soccer player is featured on the cover of EA Sport's FIFA 18?,Cristiano Ronaldo,Lionel Messi,Neymar,Harry Kane
easy,boolean,"Several characters in ""Super Mario 64"" blink their eyes, including Mario himself.",True,False,,
medium,multiple,"In ""Paper Mario: The Thousand Year Door"", what is Hooktail's weakness?",The Sound of Crickets,Attacks from Koopas,"The ""Ice Storm"" Item",The Hammer
hard,multiple,"In the game Nuclear Throne, what organization chases the player character throughout the game?",The I.D.P.D,The Fishmen,The Bandits,The Y.V.G.G
medium,multiple,What is Solid Snake's real name?,David,Solid Snake,John,Huey
medium,multiple,"In Portal, what color is the Intelligence Core?",Blue,Purple,Red,Orange
easy,estimate,How many differently shaped Tetris pieces are there?,7,5,6,8
hard,multiple,Which of these characters wasn't a villian in Club Penguin?,The Director,Herbert P. Bear,Tusk,Ultimate Proto-Bot 10000
medium,boolean,"In ""League of Legends"", there exists four different types of Dragon.",False,True,,
medium,multiple,"Who created the pump ""F.L.U.D.D."" Mario uses in Super Mario Sunshine?",Elvin Gadd,Robert Fludd,Nirona,Crygor
hard,multiple,"Before Super Smash Bros. contained Nintendo characters, what was it known as internally?",Dragon King: The Fighting Game,Contest of Champions,Smash and Pummel,Fighter of the Ages: Conquest
medium,boolean,A cancelled Call Of Duty title would have taken place in ancient Rome.,True,False,,
medium,multiple,"In the PAYDAY series, who is the iconic leader of the PAYDAY gang?",Dallas,Wolf,Chains,Hoxton
hard,multiple,"In the title of the game ""Luigi's Mansion"", what is the only letter to not appear with a pair of eyes in it?",s,n,i,m
medium,multiple,"In Overwatch, what is Lúcio's full name?",Lúcio Correia Dos Santos,Lúcio Luiz Lós Guilherme,Lúcio João Lucas,Lúcio Chupar Prima
medium,boolean,Pistons were added to Minecraft in Beta 1.5.,False,True,,
easy,multiple,"In Counter-Strike: Global Offensive, what's the rarity of discontinued skins called?",Contraband,Discontinued,Diminished,Limited
medium,multiple,"In the game The World Ends With You, all of these characters act as a game partner with Neku for a week except:",Rhyme,Shiki,Joshua,Beat
easy,boolean,"In Pokémon, Bulbasaur is the only starter pokemon that is a Grass/Poison type.",True,False,,
medium,estimate,"In Overwatch, how old is Reinhardt Wilhelm?",61,59,65,62
medium,multiple,What is the subtitle for Gran Turismo 3?,A-Spec,Championship,Drive,Nitro
easy,boolean,Pac-Man was invented by the designer Toru Iwatani while he was eating pizza.,True,False,,
easy,boolean,"The song ""Megalovania"" by Toby Fox made its third appearence in the 2015 RPG ""Undertale"".",True,False,,
easy,boolean,"In the Monster Hunter Series, it is possible to capture Elder Dragons.",False,True,,
medium,multiple,In which Mario game did the Mega Mushroom make its debut?,Mario Party 4,New Super Mario Bros.,Mario Kart Wii,Super Mario 3D World
hard,multiple,"Which of these characters was considered, but ultimately not included, for Super Smash Bros. Melee?",James Bond,Diddy Kong,Mega Man,Wave Racer
hard,multiple,Where are Terror Fiends more commonly found in the Nintendo game Miitopia?,New Lumos,Peculia,The Sky Scraper,Otherworld
easy,boolean,"The main character in the ""Half-Life"" franchise is named Morgan Freeman.",False,True,,
easy,multiple,"Who is the writer of the game ""Half-Life""?",Marc Laidlaw,Gabe Newell,Robin Walker,Chet Faliszek
easy,multiple,"What is the Alien Race in the game ""Lego Racers 2"" known as?",Ramas,Slizers,Roboriders,Turagas
medium,multiple,"In Cook, Serve, Delicious!, which food is NOT included in the game?",Pie,Shish Kabob,Hamburger,Lasagna
easy,multiple,Who was the voice actor for Snake in Metal Gear Solid V: The Phantom Pain?,Kiefer Sutherland,David Hayter,Norman Reedus,Hideo Kojima
medium,estimate,When was Nintendo's Virtual Boy released?,1995,1989,1997,1992
easy,multiple,"Which of the following games was NOT included in Valve's ""The Orange Box""?",Left 4 Dead,Half-Life 2: Episode Two,Portal,Team Fortress 2
medium,multiple,Which of these games was the earliest known first-person shooter with a known time of publication?,Spasim,Doom,Wolfenstein,Quake
hard,boolean,"In The Witcher 3, the Zoltan Chivay Gwent card can be found under the Hanged Man's Tree.",True,False,,
easy,boolean,"""Metal Gear Solid 3: Snake Eater"" was released in 2004.",True,False,,
easy,multiple,"Who is the protagonist in the game ""The Walking Dead: Season One""?",Lee Everett,Clementine,Kenny,Rick Grimes
hard,multiple,"In the game ""Overwatch,"" which quote does the hero ""McCree"" NOT say upon using his flashbang ability?","""You done?""","""Whoa there.""","""Hold up now.""","""Don't move."""
hard,multiple,"In Rainbow 6 Siege, what is Mozzie's real name?",Max Goose,Mick Seagull,Hugo Sparrow,Dan Bird
hard,multiple,What is the name of the main character in the video game VA-11 HALL-A: Cyberpunk Bartender Action?,Jill,Dana,Alma,Anna
medium,boolean,"In Monster Hunter Generations, guild style is a type of hunting style.",True,False,,
easy,multiple,Which of the following characters is NOT a female marriage candidate in the game Stardew Valley?,Caroline,Abigail,Haley,Leah
easy,multiple,What is the main ship used by Commander Shepard in the Mass Effect Franchise called?,Normandy,Osiris,Infinity,Endeavour
medium,multiple,How many Chaos Emeralds can you collect in the first Sonic The Hedgehog?,Six,Seven,Five,Eight
easy,boolean,"In the Fallout: New Vegas add-on Lonesome Road, Ulysses wields a flag pole named The Liberator.",False,True,,
easy,boolean,"The game ""Battlefield 1"" takes place during World War I.",True,False,,
medium,multiple,Which city hosted the CS:GO Dreamhack Open 2015?,Cluj-Napoca,Cologne,Atlanta,London
hard,multiple,"In the video game ""Metal Gear Solid"", what did Revolver Ocelot consider the greatest handgun ever made?",Colt Single Action Army,Colt Python,Colt M1892,Colt 1851 Navy Revolver
medium,boolean,"In ""Overwatch,"" an allied McCree will say ""Step right up"" upon using his ultimate ability Deadeye.",True,False,,
easy,estimate,"In Kingdom Hearts, how many members does Organization XIII have in total?",14,10,13,12
medium,multiple,"In the original DOOM games, which of the following demons is a recolor of the Baron of Hell, but is weaker than the Baron?",Hell Knight,Mancubus,Pinky,Arch-Vile
easy,multiple,"In the game ""DELTARUNE"", what is Ralsei's special ability?",Pacify,Persuade,Eliminate,Hug
medium,multiple,One of the early prototypes of the Sega Dreamcast controller resembled which of the following?,Television Remote,Tablet,Hairdryer,Flip Phone
medium,multiple,Which of the following characters were considered for inclusion in Super Smash Bros. Melee?,Lucas,Mega Man,Meta Knight,Diddy Kong
easy,multiple,Which Super Mario video game when they introduce Bowser Jr. for the first time?,Super Mario Sunshine,Mario Party series,Super Mario Galaxy,Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey
medium,multiple,"The first game in the Touhou Project, ""Highly Responsive to Prayers"", is part of which genre?",Breakout/Arkanoid,Shoot 'em Up,Puzzle,Fighter
easy,multiple,What is the name of the talking cat in Persona 5?,Morgana,Teddie,Marie,Ryuji
hard,boolean,"In the game ""Melty Blood Actress Again Current Code"", you can enter Blood Heat mode in Half Moon style.",False,True,,
medium,multiple,"Who created Agent 47 in the game series ""Hitman""?",Dr. Otto Wolfgang Ort-Meyer,Professor Hertz Amadeus Schneider,Dr. Josef Mengele,Professor Otto Rothwinkler
medium,multiple,"Which pop singer was brought in by SEGA to produce the music for ""Sonic the Hedgehog 3""?",Michael Jackson ,Prince,George Michael,Vanilla Ice 
medium,multiple,What snowy mob was added in Minecraft 1.10?,Polar bears,Eskimos,Penguins,Walking TNT
medium,multiple,What was the first PlayStation game to require the use of the DualShock controller?,Ape Escape,Metal Gear,Tekken ,Tomba 2!
medium,multiple,"Which of the following games in the Anno series introduced the ""Eco Balance"" gameplay mechanic?",Anno 2070,Anno 1404,Anno 2205, Anno 1701
hard,multiple,"In Animal Crossing: New Leaf, which of these paintings from Redd's Art Gallery is always genuine?",Warm Painting,Jolly Painting,Neutral Painting,Wistful Painting
easy,multiple,"What is the name of the world that the MMO ""RuneScape"" takes place in?",Gielinor,Glindor,Azeroth,Zaros
easy,multiple,"In the video game Team Fortress 2, which of these is NOT a primary?",Medigun,Scattergun,Grenade Launcher,Rocket Launcher
easy,multiple,"The ""Day of Defeat"" series of games take place during which war?",World War II,World War I,Vietnam War,Iraq War
easy,estimate,How many flagship monsters appear in Monster Hunter Gernerations?,4,1,2,3
hard,multiple,"Which gaming series includes ""The Diabolical Box"" and ""The Curious Village""?",Professor Layton,Persona,Etrian Odyssey,Sam & Max
medium,estimate,"In the ""Call Of Duty: Zombies"" map ""Origins"", how many numbered power generators are there?",6,8,5,3
medium,multiple,"In Undertale, how much do Spider Donuts cost in Hotland?",9999G,7G,40G,12G
medium,multiple,Which CS:GO eSports team won the major event ESL One Cologne 2016?,SK Gaming,Team Liquid,Fnatic,Virtus.pro
easy,multiple,The name of the Metroid series comes from what?,An enemy in the game,The final boss's name,The main character's name,A spaceship's name
medium,estimate,How old is Chloe Price in Life is Strange: Before the Storm?,16,24,19,15
easy,boolean,The PlayStation was originally a joint project between Sega and Sony that was a Sega Genesis with a disc drive.,False,True,,
easy,multiple,Who is the main character of the game Half-Life: Opposing Force?,Adrian Shephard,Gordon Freeman,Alyx Vance,Barney Calhoun
easy,multiple,"In ""Overwatch"", what is the name of the company that made D.Va's mech?",MEKA,MI8,KPAMC,JSAMB
medium,estimate,"In Splatoon, what is the age that inklings can freely change between squid and humanoid forms?",14,13,16,10
medium,multiple,"In the ""Halo"" franchise, in what country is New Mombasa?",Kenya,India,Turkey,Slovakia
medium,boolean,"In ""Team Fortress 2"", the ""Bill's Hat"" is a reference to the game ""Dota 2"".",False,True,,
hard,multiple,"In the remake of ""Resident Evil 2"", which medallion does not exist?",Dragon Medallion,Lion Medallion,Unicorn Medallion,Maiden Medallion
medium,multiple,What is the only Generation III Pokemon whose name begins with the letter I?,Illumise,Infernape,Ivysaur,Igglybuff
medium,multiple,Who was Tetris created by?,Alexey Pajitnov,Toru Iwatani,Allan Alcorn,William Higinbotham
hard,multiple,"The 'D' in the term ""D-Mail"" from the game ""Steins; Gate"" is short for what?",DeLorean,Deep,Demo,Dev
medium,multiple,What CS:GO case contains the Butterfly Knife?,Breakout Case,Shadow Case,Vanguard Case,Esports 2014 Case
medium,multiple,What is a Tetris piece called?,Tetromino,Tetratile,Tetris,Tetripiece
medium,multiple,"What engine did the original ""Half-Life"" run on?",GoldSrc,Source,Quake,Unreal
medium,multiple,"What was the first ""Team Fortress 2"" update to include a war?",Sniper vs. Spy Update,WAR! Update,Meet Your Match Update,Spy Vs. Engineer Update
hard,multiple,When was the Valve Corporation founded?,"August 24, 1996","December 26, 1994","March 22, 1997","March 13, 1997"
easy,multiple,Who is the creator of Touhou project?,Zun,Jun,Twilight Frontier,Tasofro
easy,estimate,How many games in the Crash Bandicoot series were released on the original Playstation?,5,4,3,6
easy,multiple,When was Left 4 Dead 2 released?,"November 17, 2009","May 3, 2008","November 30, 2009","June 30, 2010"
medium,multiple,The '64' in the Nintendo-64 console refers to what?,The bits in the CPU architecture,The number of megabytes of RAM,Capacity of the ROM Cartridges in megabytes,Clock speed of the CPU in Hertz
hard,boolean,"In Undertale, having a ""Fun Value"" set to 56-57 will play the ""Wrong Number Song Call"".",False,True,,
hard,multiple,"In the Animal Crossing series, which flower is erroneously called the ""Jacob's Ladder""?",Lily of the Valley,Hydrangea,Harebell,Yarrow
hard,multiple,Which retro video game was released first?,Space Invaders,Galaga,Pac-Man,Asteroids
easy,estimate,What year was the game Dishonored released?,2012,2011,2008,2013
easy,multiple,Which game did NOT get financed via Crowdfunding?,Enter the Gungeon,Town of Salem,Undertale,Tower Unite
medium,multiple,"In Minecraft: Java Edition, which of the following feature/block was added to Survival mode in Beta 1.3?",Beds,Hunger,The Nether,Grass
hard,multiple,The creation of the  Entertainment Software Ratings Board (ESRB) is often associated with Mortal Kombat and what FMV video game?,Night Trap,Sewer Shark,The Daedalus Encounter,Corpse Killer
medium,multiple,Which of these was NOT a launch title for the Nintendo 64?,Mario Kart 64,Super Mario 64,Pilotwings 64,Saikyō Habu Shōgi
medium,multiple,"What is the name of the only female ""Original Four"" Kerbal in Kerbal Space Program?",Valentina Kerman,Emiko Kerman,Samantha Kerman,Catmund Kerman
medium,multiple,"Which of these blocks in ""Minecraft"" has the lowest blast resistance?",Sand,End Stone,Water,Wood Planks
medium,boolean,Resident Evil 4 was originally meant to be a Nintendo GameCube exclusive.,True,False,,
medium,multiple,"In the ""Call Of Duty: Zombies"" map ""Moon"", there is a secondary called the QED. What does QED stand for?",Quantum Entanglement Device,Quad Ectoplasmic Driver,Question Every Dog,Quality Edward Device
medium,boolean,Shang Tsung is a playable character in Mortal Kombat XL.,False,True,,
easy,multiple,"Who is the founder of Team Fortress 2's fictional company ""Mann Co""?",Zepheniah Mann,Cave Johnson,Wallace Breem,Saxton Hale
easy,boolean,"In ""Super Mario Bros."", the clouds and bushes have the same artwork and are just different colors.",True,False,,
medium,multiple,"In the Super Smash Bros. series, which game first featured Luigi as a playable character?",Super Smash Bros.,Super Smash Bros. Melee,Super Smash Bros. Brawl,Super Smash Bros. for Wii U
medium,multiple,"In ""Kingdom Hearts"", who abducts Jasmine in the Lamp Chamber?",Riku,Riku Replica,Xaldin,Captain Hook
easy,boolean,The protagonist of Dead Rising 3 is called Chuck Greene.,False,True,,
medium,multiple,"When was Chapter 1 of the Source Engine mod ""Underhell"" released?","September 1st, 2013","March 3rd, 2011","September 12th, 2013","October 2nd, 2012"
easy,multiple,"Who created the 2011 Video Game ""Minecraft""?",Markus Persson,Jens Bergensten,Daniel Rosenfeld,Carl Manneh
medium,multiple,"In ""Call of Duty: Zombies"", what group does Doctor Maxis work for?",Group 935,Group Reanimate,Group Rezurrection,Division 9
easy,multiple,Who turns out to be the true victor in the Battle of Armageddon in Mortal Kombat?,Shao Kahn,Liu Kang,Shang Tsung,Raiden
medium,multiple,"From the Meme Culture, which Mario game immerged ""Weegee""?",Mario is Missing! MS-DOS Version ,Mario is Missing! SNES Version,Mario is Missing! NES Version,Mario is Missing! MSX Version
easy,estimate,"If a ""360 no-scope"" is one full rotation before shooting, how many rotations would a ""1080 no-scope"" be?",3,4,2,5
easy,multiple,Valve Corporation is an American video game developer located in which city?,"Bellevue, Washington","Austin, Texas","Seattle, Washington","San Francisco, California"
hard,multiple,"What was the first game to utilize Valve's ""Source 2"" engine?",Dota 2,Counter-Strike: Global Offensive,"Pirates, Vikings & Knights II",Artifact
easy,multiple,"In the game Warframe, what is the bipedal robot from the Corpus faction called?",MOA,Corpus Tech,Crewman,Corpus Walker
hard,multiple,"In ""The Binding of Isaac"", which item instantly kills Mom and Mom's Heart?",The Bible,The Halo,Brimstone,Book of Shadows
hard,multiple,"In the popular MOBA League of Legends, which of the following champions is nicknamed ""the Virtuoso""?",Jhin,Kayle,Ezreal,Camille
hard,multiple,"In the Fallout series, on which date did The Great War happen?","October 23rd, 2077","May 15th, 2058","December 14th, 2069","November 5th, 2076"
easy,multiple,Who is the protagonist in Dead Rising (2006)?,Frank West,Chuck Greene,John North,Jason Grey
easy,multiple,Which Animal Crossing game was for the Nintendo Wii?,Animal Crossing: City Folk,Animal Crossing: New Leaf,Animal Crossing: Wild World,Animal Crossing: Population Growing!
easy,multiple,"When was ""Luigi's Mansion 3"" released?","October 31st, 2019","January 13th, 2019","September 6th, 2018","October 1st, 2019"
medium,multiple,"In the ""Neptunia"" series which nation does Neptune rule over?",Planeptune,Lastation,Leanbox,Lowee
easy,estimate,What minimum level in the Defence skill is needed to equip Dragon Armour in the MMO RuneScape?,60,65,55,70
hard,multiple,"In Stardew Valley, what is the reward for completing all of the Bulletin Board bundles?",Additional Friendship points,Glittering Boulder removed,Bus is repaired,Greenhouse
hard,multiple,Which of these characters from Final Fantasy VIII primarily spoke in one word sentences?,Fujin,Raijin,Seifer,Zell
medium,estimate,"How many zombies need to be killed to get the ""Zombie Genocider"" achievement in Dead Rising (2006)?","53,594","53,593","53,595","53,596"
medium,multiple,"What system was ""Touhou: Highly Responsive to Prayers"" released on?",PC-98,OSX 10.9.5,Windows ME,Windows 98
hard,multiple,Which of the following games was NOT included in Valve's Orange Box?,Counter-Strike,Portal,Half-Life 2: Episode Two,Team Fortress 2
easy,boolean,English new wave musician Gary Numan founded the video game development company Facepunch Studios in March 2009.,False,True,,
easy,estimate,"In ""Mario & Sonic at the Olympic Games"", characters are split into how many types?",4,6,5,3
medium,multiple,"In the Portal series, Aperture Science was founded under what name in the early 1940s?",Aperture Fixtures,Aperture Lavatories,Aperture Science Innovators,Wheatley Laboratories
medium,multiple,What is the world's first video game console?,Magnavox Odyssey,Coleco Telstar,Nintendo Color TV Game,Atari 2600
medium,multiple,"In Call Of Duty: Black Ops II, who is the main antagonist?",Raul Menéndez ,Vladimir Makarov ,Frank Woods,DeFalco
easy,boolean,"In the ""S.T.A.L.K.E.R."" series, the Freedom faction wishes to destroy the supernatural area known as  ""the Zone"".",False,True,,
medium,multiple,"Which of the following colors does the Zombie eyes glow in the ""Nuketown"" map in ""Call of Duty: Black Ops II"" Zombies mode?",Yellow and Blue,Yellow and Red,Red and Blue,Blue and White
easy,multiple,Who are the original creators of Rachet & Clank?,Insomniac Games,PixelTail Games,Rare,Bethesda
medium,multiple,"In Touhou: Embodiment of Scarlet Devil, what song plays during Flandre Scarlet's boss fight?",U.N. Owen Was Her,Septette for the Dead Princess,Flowering Night,Pierrot of the Star-Spangled Banner
medium,multiple,"Which of these songs does NOT play during the Ruins segments of the 2015 game ""Undertale""?",Another Medium,Anticipation,Unnecessary Tension,Ruins
medium,multiple,"In ""Kingdom Hearts"", what mission are Donald and Goofy assigned by King Mickey?",To find the Key bearer and stick with him!,To find the Key bearer and steal the key!,To find the Key bearer and report back!,To find the Key bearer and kill him!
easy,multiple,"What is the name of the main character in ""Life is Strange""?",Maxine Caulfield,Victoria Chase,Stella Hill,Chloe Price
easy,multiple,Which one of these characters is NOT a playable fighter in Super Smash Bros. Ultimate?,Kumatora,King K. Rool,Incineroar,Corrin
medium,estimate,"In the game Pokémon Conquest, how many kingdoms make up the region of Ransei?",17,18,15,16
medium,boolean,"In World of Warcraft lore, Thrall is the original wielder of ""Doomhammer"".",False,True,,
medium,multiple, Which of these champions from the MOBA 'League of Legends' is NOT a Yordle?,Annie,Veigar,Tristana,Lulu
hard,estimate,How many playable characters are there in Super Smash Bros. for Nintendo 3DS and Wii U?,58,48,51,55
medium,multiple,"According to Overwatch's lore, who was once a member of the Deadlock Gang?",McCree,Roadhog,Soldier 76,Junkrat
medium,multiple,Who's the Captain of the S.T.A.R.S. Bravo Team in Resident Evil 1?,Enrico Marini,Albert Wesker,Richard Aiken,Rebecca Chambers
medium,boolean,Super Mario Bros. was released in 1990.,False,True,,
medium,multiple,"What is the name of Joel's daughter in the game, ""The Last of Us""? ",Sarah,Ellie,Tess,Marlene
easy,multiple,"Which ""Call Of Duty: Zombies"" map introduced the ""Staffs Of The Ancients""?",Origins,Shangri-La,Revelations,Nuketown
hard,multiple,When was Pokemon GO released in North America?,"July 6th, 2016","June 5th, 2016","May 24th, 2016","January 2nd, 2017"
hard,multiple,"In the ""Pikmin"" games, which of the following pikmin colors lacks it's own ""Onion"" nest?",Purple,Winged,Blue,Rock
easy,boolean,"In the Monster Hunter Series, G-Rank is the highest possible prestige a Hunter can recieve.",True,False,,
easy,multiple,The “fairy” type made it’s debut in which generation of the Pokemon core series games?,6th,2nd,7th,4th
medium,estimate,"In what year was ""Super Mario Sunshine"" released?",2002,2003,2000,2004
hard,multiple,What was the world's first handheld game device?,Mattel Auto Race,Game Boy,Microvision,Game & Watch
medium,multiple,"In Yakuza 0, what is the order of the fighting styles acquired as Kazuma Kiryu?","Brawler, Rush, Beast, Legend","Legend, Rush, Brawler, Beast","Brawler, Beast, Rush, Legend","Beast, Brawler, Rush, Legend"
easy,multiple,"In the ""Metal Gear Solid"" series, what's the name of Solid Snake's brother?",Liquid Snake,Kulus Snake,Billy Snake,Gilur Snake
easy,multiple,Which member of the Velvet Room is not a playable character in Persona 4 Arena Ultimax?,Theodore,Elizabeth,Margaret,Marie
medium,multiple,What was the name of the protagonist of Metal Gear Solid V: The Phantom Pain?,"Punished ""Venom"" Snake",Miller,Solid Snake,Ocelot
hard,multiple,"In Terraria, which debuff does the ankh charm not provide immunity to?",Venom,Cursed,Bleeding,Slow
easy,boolean,Ryuji Sakamoto is a character from Final Fantasy.,False,True,,
medium,multiple,"How many unique items does ""Borderlands 2"" claim to have?",87 Bazillion ,87 Million,87 Trillion,87 Gazillion 
medium,multiple,What was the FIRST Valve game to have VR?,The Lab,Dota 2,Destinations,Half-Life 2
easy,multiple,Which Kirby game first introduced Copy Abilities?,Kirby's Adventure,Kirby Super Star,Kirby's Dream Land 2,Kirby's Dream Land
medium,multiple,"In the Pokémon series, which type is Sudowoodo, the Imitation Pokémon?",Rock,Grass,Bug,Ground
medium,multiple,"In the beginning of the game ""Sonic Adventure"", what color Chaos Emerald does Tails own?",Purple,Red,Green,Blue
easy,boolean,"In the game ""Subnautica"", a ""Spadefish"" will attack you.",False,True,,
medium,multiple,"The protagonist in the game ""Cave Story"" is named",Quote,Kazuma,Curly,Arthur
medium,multiple,"The video game publishers known as ""tinyBuild"" published which of these games?",Clustertruck,Don't Starve,Stardew Valley,Slime Rancher
medium,multiple,"In the game ""Undertale"", who was Mettaton's creator?",Alphys,Undyne,Sans,Asgore
medium,multiple,Which company did Bethesda purchase the Fallout Series from?,Interplay Entertainment ,Capcom,Blizzard Entertainment,Nintendo
hard,boolean,"In the game Nuclear Throne, the boss ""Big Dog"" was made into a character on April Fool's Day 2015.",True,False,,
medium,multiple,Which video game company developed the 2019 game Rage 2?,Avalanche Studios,Bethesda Game Studios,Infinity Ward,Gearbox Software
medium,multiple,"In World of Warcraft Lore, four Old Gods created a giant and powerful creature. What was it called? ",The Ancient One,Anomalous,Eater of Souls,The Lich King
medium,multiple,"When Halo 3: ODST was unveiled in 2008, it had a different title. What was the game formally called?",Halo 3: Recon,Halo 3: Helljumpers,Halo 3: Phantom,Halo 3: Guerilla
hard,multiple,The Bracken from Lethal Company is also known as:,The Flower Man,The Phantom,The Shadow Demon,Larry
medium,estimate,"In Call of Duty: Modern Warfare 2, how many consecutive kills does it require to earn the ""Tactical Nuke"" killstreak?",25,20,30,35
easy,multiple,"In the second-generation Pokémon games, which Pokémon can you start with?","Chikorita, Cyndaquil, and Totodile","Bulbasaur, Charmander, and Squirtle","Treecko,Torchic, and Mudkip","Grassy, Firey, and Watery"
easy,boolean,"The Indie Game Development Studio Cing, developers of Hotel Dusk and Last Window, went bankrupt on March 1st, 2010.",True,False,,
easy,multiple,"In ""Fallout 4"" which faction is not present in the game?",The Enclave,The Minutemen,The Brotherhood of Steel,The Institute
medium,estimate,"When was ""System Shock"" released?",1994,1995,2000,1998
hard,multiple,"In the game Warframe, what is the type of fish that is known to eat unwary natives of Cetus?",Sharrac,Glappid,Karkina,Mawfish
easy,multiple,"In the game Nuclear Throne, which character starts with the least HP?",Melting,Crystal,Rebel,Yung Venuz (Y.V.)
easy,multiple,Who is the leader of Team Mystic in Pokémon Go?,Blanche,Candela,Spark,Willow
medium,multiple,Which game is NOT part of the Science Adventure series by 5pb. and Nitroplus?,Occultic; Nine,Steins; Gate,Robotics; Notes,Chaos; Child
hard,multiple,"In ""Super Mario Sunshine"", how do you unlock the ""Corona Mountain"" level?",By clearing every 7th episode,By obtaining 70 Shines,"By clearing every episode involving a ""Secret""",By unlocking every nozzle F.L.U.D.D can use
medium,multiple,"When was the video game publisher ""Ubisoft"" founded ?",March 1986,April 1990,June 2001,August 1956
easy,boolean,"""Half-Life 2"" runs on the Source Engine.",True,False,,
medium,multiple,"In the Mario series, which game introduced Mario's Backflip ability?",Donkey Kong (Gameboy),Super Mario 64,Super Mario 3D Land,Super Mario Galaxy
easy,boolean,"There are 6 legendary cards in ""Clash Royale"".",False,True,,
hard,multiple,"What video game company developed the 2004 racing game ""Burnout 3: Takedown""?",Criterion Games,EA Black Box,Codemasters,Rockstar Games
hard,multiple,"In ""Starbound"", what is the max HP of the monster ""Punchy""?","50,000 HP","9,000,000 HP",100 HP,"150,000 HP"
medium,multiple,"In Call of Duty: United Offensive, what two soldiers share a name of a video game character?",Gordon & Freeman,Sam & Fisher,Nathan & Drake,Dig & Dug
