Difficulty,Type,Question,Correct Answer,Wrong 1,Wrong 2,Wrong 3
hard,multiple,"Which author co-wrote ""The Communist Manifesto"" alongside Karl Marx?",Friedrich Engels,Robert Owen,Alexander Kerensky,Paul Lafargue
easy,multiple,What is the name of the protagonist of J.D. Salinger's novel Catcher in the Rye?,Holden Caulfield,Fletcher Christian,Jay Gatsby,Randall Flagg
medium,multiple,By what name was the author Eric Blair better known?,George Orwell,Aldous Huxley,Ernest Hemingway,Ray Bradbury
medium,multiple,"Which of the following was the author of ""Username Evie""?",Joe Sugg,Zoe Sugg,Joe Weller,Alfie Deyes
hard,multiple,"In the book series ""Odd Thomas"", Danny Jessup has what genetic disease? ", Osteogenesis Imperfecta,Spinocerebellar ataxia,Adrenoleukodystrophy,Cystic Fibrosis
medium,multiple,"In Terry Pratchett's Discworld novel 'Wyrd Sisters', which of these are not one of the three main witches?",Winny Hathersham,Granny Weatherwax,Nanny Ogg,Magrat Garlick
medium,multiple,"In the ""Harry Potter"" novels, what must a Hogwarts student do to enter the Ravenclaw Common Room?",Answer a riddle,Rhythmically tap barrels with a wand,Speak a password,Knock in sequence
easy,multiple,What is the title of the first Sherlock Holmes book by Arthur Conan Doyle?,A Study in Scarlet,The Sign of the Four,A Case of Identity,The Doings of Raffles Haw
easy,multiple,American illustrator and writer Maurice Sendak is most well-known for writing which children's book?,Where The Wild Things Are,The Neverending Story,Charlie and the Chocolate Factory,The Cat in the Hat
hard,multiple,"In the Harry Potter universe, what is Cornelius Fudge's middle name?",Oswald,James,Harold,Christopher
medium,multiple,"Who is the author of the series ""Malazan Book of the Fallen""?",Steven Erikson,Ian Cameron Esslemont,George R. R. Martin,J. R. R. Tolkien
hard,multiple,"In the Beatrix Potter books, what type of animal is Tommy Brock?",Badger,Fox,Frog,Rabbit
easy,multiple,What's Harry Potter's dad's name?,James Potter,Joey Potter,Frank Potter,Hairy Potter Sr.
easy,boolean,Dracula is destroyed by contact with sunlight,False,True,,
medium,multiple,"Who wrote the children's story ""The Little Match Girl""?",Hans Christian Andersen,Charles Dickens,Lewis Carroll,Oscar Wilde
hard,multiple,Abel Magwitch is a character from which Charles Dickens novel?,Great Expectations,The Pickwick Papers,Nicholas Nickleby,Oliver Twist
hard,multiple,"The novel ""Jane Eyre"" was written by what author? ",Charlotte Brontë,Emily Brontë,Jane Austen,Louisa May Alcott
medium,multiple,"Who wrote the 1967 horror novel ""Rosemary's Baby""?",Ira Levin,Stephen King,Robert Bloch,Mary Shelley
medium,multiple,Which of the following is not a work authored by Fyodor Dostoevsky?,Anna Karenina,Notes from the Underground,Crime and Punishment,The Brothers Karamazov
medium,multiple,"Of the following, which Stephen King novel was published earliest?","""Cujo""","""Misery""","""Christine""","""IT"""
easy,multiple,"""Green Eggs And Ham"" is a book by which author?",Dr. Seuss,Beatrix Potter,Roald Dahl,A.A. Milne
