Difficulty,Type,Question,Correct Answer,Wrong 1,Wrong 2,Wrong 3
hard,multiple,"Who voice acted the character Hiccup in the movie ""How to Train Your Dragon""?",Jay Baruchel,Jack Brauchel,John Powell,Gerard Butler
medium,multiple,"What is the cartoon character, Andy Capp, known as in Germany?",Willi Wakker,Dick Tingeler,Helmut Schmacker,Rod Tapper
medium,multiple,"Before becoming the Autobot leader, Optimus Prime was known by what name on Cybertron?",Orion Pax,Long Haul,P-138,Teletran-1
medium,multiple,"In the animated series RWBY, what is the name of the weapon used by Weiss Schnee?",Myrtenaster,Gambol Shroud,Crescent Rose,Ember Celica
easy,multiple,The song 'Little April Shower' features in which Disney cartoon film?,Bambi,Cinderella,Pinocchio,The Jungle Book
hard,multiple,"What was the release date of the first episode of ""The Powerpuff Girls""?","November 18, 1998","June 25, 1999","July 28, 2000","April 14, 2001"
easy,multiple,"Who created the Cartoon Network series ""Regular Show""?",J. G. Quintel,Ben Bocquelet,Pendleton Ward,Rebecca Sugar
medium,multiple,"Which ""Toy Story"" character was voiced by Don Rickles?",Mr. Potato Head,Slinky Dog,Hamm,Rex
easy,boolean,"Waylon Smithers from ""The Simpsons"" was originally black when he first appeared in the series.",True,False,,
hard,multiple,"In the TV show ""Rick and Morty"", Rick uses the catchphrase ""Wubba Lubba Dub Dub"", which means what in Birdperson?","I am in great pain, please help me.",I pray that my life ends soon.,Lets get this party started!,"I am suffering, please help me."
medium,multiple,"In ""My Little Pony: Friendship is Magic"", which of these ponies represents the quality of honesty?",Applejack,Twilight Sparkle,Pinkie Pie,Rarity
medium,multiple,What is Scooby-Doo's real name?,Scoobert,Scooter,Scrappy,Shooby
medium,multiple,Which of these is not a real character in the cartoon series My Little Pony: Friendship is Magic?,Rose Marene,Pinkie Pie,Maud Pie,Rainbow Dash
easy,multiple,"Who voiced the Genie in Disney's ""Aladdin""?",Robin Williams,Billy Crystal,Adam Sandler,Jim Carrey
easy,multiple,"Which of these is NOT a catchphrase used by Rick Sanchez in the TV show ""Rick and Morty""?","Slam dunk, nothing but net!","Hit the sack, Jack!","Rikki-Tikki-Tavi, biatch!",Wubba-lubba-dub-dub!
medium,multiple,"What is the name of the Alligator that The Simpsons ""killed"" in the episode ""Kill The Alligator and Run""?",Captain Jack,Captain Jake,Captain Hector,Captain Flynn
medium,multiple,"Who is the ""dumb blonde"" character in Nickelodeon's ""The Loud House""?",Leni,Luan,Luna,Lincoln
medium,multiple,What is the standard frame rate for animation?,24 FPS,12 FPS,30 FPS,60 FPS
hard,multiple,"Townsend Coleman provided the voice for which turtle in the original 1987 series of ""Teenage Mutant Ninja Turtles""?",Michelangelo,Leonardo,Donatello,Raphael
hard,multiple,What is Scooby Doo's full name?,Scoobert Doo,Scooter Doo,Scooby Dooby Doo,Scoobity Doo
medium,multiple,"Which singer provided the voice of Metroid's Mother Brain in the animated series ""Captain N: The Game Master""?",Levi Stubbs,Freddie Mercury,Janet Jackson,Joan Jett
easy,multiple,"Wendy O. Koopa appeared in the Super Mario DIC Cartoons, but what was she known as?",Kootie Pie,Sweetie Pie,Wendy Pie,Honey Pie
medium,multiple,Nickelodeon is owned by what parent company?,Viacom,CBS,FOX,ABC
easy,multiple,"In The Simpsons, which war did Seymour Skinner serve in the USA Army as a Green Beret?",Vietnam War,World War 2,World War 1,Cold War
easy,multiple,Which of the following did not feature in the cartoon 'Wacky Races'?,The Dragon Wagon,The Bouldermobile,The Crimson Haybailer,The Compact Pussycat
medium,multiple,"In the Dreamworks animated movie ""Madagascar,"" who voices Maurice the lemur?",Cedric the Entertainer,Jack Black,Sacha Baron Cohen,Chris Rock
medium,multiple,Which episode from The Amazing World Of Gumball won the Childrens Choice Award at the British Animation Awards in 2016?,The Shell,The Limit,The Kids,The Gripes
easy,multiple,What type of animal is Disney's Bambi?,Deer,Elephant,Wolf,Mouse
easy,multiple,"What was the name of the sea witch in the 1989 Disney film ""The Little Mermaid""?",Ursula,Madam Mim,Maleficent,Lady Tremaine
hard,multiple,"What town was ""Springfield"" from ""The Simpsons"" originally named after?","Springfield, Oregon","Springfield, Missouri","Springfield, Illinois","Springfield, Massachusetts"
easy,boolean,"Bill Cipher in the show ""Gravity Falls"" is the good guy.",False,True,,
medium,multiple,Adam West was the mayor of which cartoon town?,Quahog,Springfield,South Park,Langley Falls
hard,multiple,"In ""Rick and Morty"", from which dimension do Rick and Morty originate from?",C-137,J1977,C-136,C500-a
hard,multiple,"In the 1968 Cartoon Show ""Wacky Races"" what was the name of cavemen duo who rode in The Boulder Mobile?",The Slag Brothers,The Slate Brothers,The Rock Brothers,The Stone Brothers
easy,multiple,Which Teenage Mutant Ninja Turtle traditionally wears an orange bandana?,Michelangelo,Leonardo,Donatello,Raphael
medium,multiple,"When did the last episode of ""Futurama"" air before returning in 2023?","September 4, 2013","December 25, 2010","March 28, 1999","November 4, 2021"
hard,multiple,"What was Maggie Simpson's first canonical word, not including the Tracey Ullman shorts?",Daddy.,Sequel?,Ja!,Rusty!
easy,multiple,"In the 1993 Disney animated series ""Bonkers"", what is the name of Bonker's second partner?",Miranda Wright,Dick Tracy,Eddie Valiant,Dr. Ludwig von Drake
easy,multiple,"What is lost in Hawaiian and is also the name of a little girl in a 2002 film which features a alien named ""Stitch""?",Lilo,Lolo,Lucy,Lulu
hard,multiple,"In the 1969 Cartoon show ""Dastardly and Muttley in Their Flying Machines"", which were NOT one of the lyrics in the opening theme?",Stab him,Nab him,Jab him,Tab him
hard,multiple,"In ""Gravity Falls"", the character Bill Cipher remarks that ""the universe is what?""",A hologram ,An illusion ,A simulation,Corrupting
medium,multiple,"The character White Diamond from Steven Universe, is voiced by who?",Christine Ebersole,Ellen McLain,Aly Michalka,Rihanna
medium,multiple,"Bugs Bunny, Tony the Tiger, and other bipedal animal characters are known as what type of character?",Anthropomorphic,Anthropolegic ,Anthrologic,Anthrogenetic
easy,multiple,"In My Little Pony, what is the name of Applejack's younger sister?",Apple Bloom,Red Delicious,Apple Sweets,Apple Fritter
easy,multiple,Which of these cartoons had a character named Heinz Doofenshmirtz?,Phineas & Ferb,Ren & Stimpy,Ben 10,Batman: The Animated Series
easy,multiple,Who is the only voice actor to have a speaking part in all of the Disney Pixar feature films? ,John Ratzenberger,Tom Hanks,Dave Foley,Geoffrey Rush
easy,multiple,"What is Everest's favorite food in the Nickelodeon/Nick Jr. series ""PAW Patrol""?",Liver,Chicken,Steak,Caribou
medium,multiple,"In ""The Amazing World of Gumball"", who is the principal of Elmore Junior High?",Principal Brown,Principal Small,Principal Brawn,Principal Simeon
hard,multiple,"In ""Gravity Falls"", what does Quentin Trembley do when he is driven out from the White House?",Eat a salamander and jump out the window.,Leave in peace.,Jump out the window.,"Release 1,000 captive salamanders into the white house."
easy,boolean,"In the ""Shrek"" film franchise, Donkey is played by Eddie Murphy.",True,False,,
easy,multiple,"What is the relationship between Rick and Morty in the show ""Rick and Morty""?",Grandfather and Grandson,Father and Son,Best Friends,Crimefighting Partners
medium,estimate,"In what year did the anime adaptation of ""March Comes In Like A Lion"" air?",2016,2017,2018,2015
easy,multiple,"In the show ""Steven Universe"", who are the main two employees of The Big Donut?",Sadie and Lars,Steven and James,Erik and Julie,Bob and May
medium,multiple,Which Hanna-Barbera cartoon character travelled with a canine companion named Beegle Beagle?,Grape Ape,Boss Gator,Wally Gator,Yogi Bear
medium,multiple,Who voiced Finn in Adventure Time?,Jeremy Shada,Nolan North,John DiMaggio,Tom Kenny
hard,multiple,"Which of the following films was Don Bluth both the writer, director, and producer for?",All Dogs Go To Heaven,Titan A.E.,Anastasia,The Land Before Time
medium,boolean,Donald Duck played the role of Bob Cratchit in Disney's 1983 adaptation of A Christmas Carol.,False,True,,
medium,multiple,"Who created ""RWBY""?",Monty Oum,Miles Luna,Kerry Shawcross,Shane Newville
hard,multiple,"In ""Gravity Falls"", how much does Waddles weigh when Mable wins him in ""The Time Traveler's Pig""?",15 pounds,20 pounds,10 pounds,30 pounds
hard,multiple,What was the name of Jonny's pet dog in The Adventures of Jonny Quest?,Bandit,Lucky,Rocky,Max
easy,multiple,Who voices for Ruby in the animated series RWBY?,Lindsay Jones,Tara Strong,Jessica Nigri,Hayden Panettiere
medium,multiple,What animated internet character is known to answer emails with his boxing gloves?,Strong Bad,Strong Sad,Strong Mad,Strong Glad
easy,multiple,"In ""Avatar: The Last Airbender"", which element does Aang begin to learn after being defrosted?",Water,Air,Earth,Fire
hard,multiple,"In the web-comic Homestuck, what is the name of the game the 4 kids play?",Sburb,Homesick,Husslie,Hiveswap
medium,multiple,"What is the name of Sid's dog in ""Toy Story""?",Scud,Buster,Whiskers,Mr. Jones
medium,boolean,Blue Danube was one of the musical pieces featured in Disney's 1940's film Fantasia.,False,True,,
medium,multiple,"In the show ""Fat Albert and the Cosby Kids"", what is the name of the characters' fictional gang?",The Junkyard Gang,The Trash Troupe,The Scrapyard Seven,The Rotten Posse
easy,multiple,"In the Pixar film, ""Toy Story"" what was the name of the child who owned the toys?",Andy,Edward,Danny,Matt
easy,multiple,What is the name of the creatures that the protagonists of the webshow RWBY fight against?,Grimm,Reavers,Heartless,Dark Ones
hard,multiple,"In the ""Star Wars"" universe, what species is Grand Admiral Thrawn?",Chiss,Gungans,Pantorans,Twi'lek
hard,multiple,"Who played Stan's dog in the South Park episode ""Big Gay Al's Big Gay Boat Ride""?",George Clooney,Jay Leno,Matt Stone,Robert Smith
easy,multiple,"Which of these characters live in a pineapple under the sea in the cartoon ""SpongeBob SquarePants"".",SpongeBob SquarePants ,Patrick Star,Squidward Tentacles,Mr. Krabs
easy,multiple,Who is Winnie the Pooh's gloomy donkey friend?,Eeyore,Piglet,Tigger,Kanga
easy,multiple,Which of the following is not a Flintstones character?,Lord Rockingham IX,Rockhead Slate,The Great Gazoo,Barney Rubble
